section_code,section,contents,clause_title,clause_reference
B,B1,Preliminaries,Name Of Parties,"The names and addresses of the employer, the Architect, the Engineers, and the Quantity Surveyors shall be stated."
B,B2,Preliminaries,Description Of Site,"(a) The location of the site shall be described stating the mode of access. Attention shall be drawn to any limitations of working space and to any adjacent or abutting buildings. (b) Recommendations as to visiting the site and inspection of any trial holes shall be made stating where the keys may be obtained (if any required) and where the drawings and other documents may be inspected. (c) Where any restrictions are imposed on the use or disposal of any sand or gravel found on the site, particulars of the restrictions shall be given. (d) Where possession of the site will be given in sections, particulars shall be given."
B,B3,Preliminaries,Description Of The Works,"(a) A general description of the works shall be given. (b) Where drawings are not supplied with the Bills the size of the building, the height above and below ground level and the number of storeys shall be given. (c) Where the works are required to be executed or completed in any specific order or in sections or phases particulars shall be given."
B,B4,Preliminaries,Contract Particulars,"(a) Particulars of the form and type of contract shall be given. (b) Where the conditions of contract are standard (i.e. printed and published for general use), particulars of the edition to be used shall be given and a schedule of the clause headings shall be set out in the bill. (c) Where any other conditions of contract are used, a copy of the full conditions shall be supplied with the bill and a schedule of the clause headings shall be set out in the bill. (d) Where there is an appendix to the condition of contract requiring insertions to be made, a schedule of the insertions shall be set out in the bill."
B,B5,Preliminaries,Items For Convenience In Pricing,"For convenience in pricing, items for the following shall be given where applicable unless they are covered by the schedules given in accordance with Clause B4 hereof: i. Plant, tools and vehicles; ii. Safety, health and welfare of work people; iii. Notice and fees to local authorities and public undertakings; iv. Setting out the works; v. General foreman; vi. National insurances and pensions for work people; vii. Holidays for work people; viii. Transport for work people; ix. Safeguarding the works, materials and plant against damage and theft; x. Maintenance of public and private roads; xi. Police regulations."
B,B6,Preliminaries,Obligations Imposed By Employer,Any obligation or restriction that may be imposed on the contractor by the employer in respect of any matter not covered by any clause in the conditions of contract shall be given as an item stating the relevant particulars.
B,B7,Preliminaries,Water For The Works,"Water for the works and temporary arrangements for storing and distributing shall be given as an item. Where water will be supplied free of cost to the contractor, particulars shall be given as to the available capacity, the source (e.g. public main; bore hole) and the location of the point of free supply."
B,B8,Preliminaries,Lighting And Power For Works,"Lighting and power for the works and temporary arrangements for distribution and for lighting of hoardings and the like shall be given as an item. Where electric current will be supplied free of cost to the contractor, particulars shall be given as to the available capacity for voltage, type of supply (e.g., alternating; direct) and the location of the point of the free supply."
B,B9,Preliminaries,Contractor’S Liability,"(a) The contractor’s liability for risk of injury to persons and property and of damage to the works shall be given as an item unless it is covered by the schedules given in accordance with Clause B4 hereof. (b) Where the employer requires the contractor to effect insurance in respect of the contractor’s liability for any such risk, the relevant particulars shall be given unless covered by the schedules given in accordance with Clause B4 hereof. (c) Where the employer intends to relieve the contractor of liability for any such risk, the relevant particulars shall be given unless covered by the schedules given in accordance with Clause B4 hereof."
B,B10,Preliminaries,Employer’S Liability,Where the cost of insuring any liability of the employer is required to be included in the contract sum such cost shall be given as a provisional or prime cost sum as Clause A7 hereof.
B,B11,Preliminaries,Temporary Works Generally,Clearing away temporary works and making good after shall be deemed to be included with the items.
B,B12,Preliminaries,Temporary Roads,"Temporary roads, tracks, hard-standings, crossings and the like shall be given as an item stating the relevant particulars."
B,B13,Preliminaries,Temporary Buildings,"(a) Temporary sheds, offices, messrooms, sanitary accommodation, and other temporary buildings for the use of the contractor shall be given as an item. Lighting, furniture, equipment and attendance shall be deemed to be included with the item. (b) Temporary offices for the use of the architect, the engineers, the quantity surveyor, the clerk of works and any other person acting on behalf of the employer shall be given as an item stating the floor area required. Lighting, furniture, equipment and attendance shall be given in the description."
B,B14,Preliminaries,Temporary Telephones,Temporary telephone facilities on the site shall be given as an item.
B,B15,Preliminaries,Temporary Screens,Temporary screens and the like shall be given as an item stating the area and any requirements regarding construction. Doors and windows in screens shall be given in the description.
B,B16,Preliminaries,Temporary Hoardings And Gantries,"(a) Temporary fencing, hoardings, fans, planked footways, guard-rails, gantries and the like as may be necessary for protecting the public, for the proper execution of the works and for meeting the requirements of any local or other authority shall be given as an item stating any conditions imposed by the employer regarding such matters as construction, access, decoration and advertisement. (b) Such temporary works specifically required by the employer shall be given as items stating all relevant particulars."
B,B17,Preliminaries,General Scaffolding,General scaffolding for the works shall be given as an item.
B,B18,Preliminaries,Dayworks,"(a) The cost of labour in dayworks shall be given as a sum; alternatively, a schedule of the different categories of labour may be given containing a provisional quantity of hours for each category. (b) The cost of labour included in a sum or schedule shall include wages, bonuses and any allowances paid to operatives directly engaged on dayworks (including those operating mechanical plant and transport) in accordance with the appropriate employment agreement or where no such agreement exists, the actual payment made to the work people concerned. (c) The cost of materials in dayworks shall be given as a sum; alternatively, a schedule may be given containing a provisional quantity of different materials. (d) The cost of materials included in such a sum or schedule shall be the net invoiced price, including delivery to site. (e) The cost of constructional plant employed exclusively in the dayworks shall be given as a sum; alternatively, a schedule of the different categories of plant may be given containing a provisional quantity of hours or such other period of time as may be appropriate for each category. (f) The cost of constructional plant included in such a sum or schedule shall include fuel, consumable stores, repairs, maintenance and insurance of plant. (g) An item shall be given for the addition of establishment charges, overheads and profit to each of the sums or schedules of labour, materials or plant. (h) Establishment charges, overheads and profit shall include: i. Costs related to the employment of labour; ii. Costs related to the costs of materials including handling and waste in storage; iii. Contractor’s administrative arrangements; iv. Constructional plant except plant employed exclusively on dayworks; v. Contractor’s facilities; vi. Temporary works; vii. Sundry items."
B,B19,Preliminaries,Works By Public Bodies,Works which may only be carried out by a local authority or a public undertaking (e.g. taking up and relaying public roads and footpaths; forming permanent crossings) shall each be given separately as provisional or prime cost sum as Clause A7 hereof.
B,B20,Preliminaries,Works By Nominated Contractors,"(a) Works which are required to be carried out by a nominated sub-contractor shall be given as a provisional or prime cost sum as Clause A7 hereof. (b) Attendance on nominated sub-contractors shall be given as an item in each case and shall be deemed to include only allowing use of standing scaffolding, mess rooms, sanitary accommodation and welfare facilities, providing space for office accommodation and for storage of plant and materials; providing light and water for the work; clearing away rubbish. Special attendance shall be given as an item in each case giving particulars (e.g. unloading; storing; hoisting; placing in position; providing power; providing special scaffolding). (c) Builder’s work in connection with works by nominated sub-contractors shall be given in accordance with the appropriate rules in this document. It is desirable for such work to be grouped together under a heading in each appropriate section of the bill."
B,B21,Preliminaries,Goods From Nominated Supplies,"(a) Goods and materials which are required to be obtained from a nominated supplier shall be given as a provisional or prime cost sum as Clause A7 hereof. (b) Fixing only goods and materials shall be given in accordance with the appropriate rules in this document. Unloading, storing, hoisting the goods and materials and returning packing materials to the nominated supplier carriage paid and obtaining credits therefore shall be deemed to be included with the items of fixing only. Where the costs of conveying goods and materials to the site, any special packing or the like are required to be paid by the contractor, particulars shall be given."
B,B22,Preliminaries,Protection Of The Works,Protection of the works shall be given as an item covering all sections of the works.
B,B23,Preliminaries,Removing Rubbish And Cleaning,Removing rubbish and debris and cleaning the works internally and externally shall be given as an item.
B,B24,Preliminaries,Contingencies,Provision for contingencies shall be given as a provision sum as Clause A7 hereof.
C,C1,Demolitions and Alterations,Generally To Section C (C1),"(a) The location of demolitions and alterations shall be given in the description of the items. For all buildings, demolition works shall be measured in a form of bills of quantities based on the elements involved. (b) Shoring and scaffolding incidental to demolitions and alternations shall be given in the description of the items. Other shoring (e.g., to old buildings left standing) shall be given in accordance with Clause C10 hereof. (c) Materials arising from demolition and alterations shall become the property of the contractor unless otherwise stated. Clearing away such old materials shall be deemed to be included with the items. Provision shall be made in the bill for credits. (d) Materials required to remain the property of the employer shall be so described. Setting aside and storing such old materials on site shall be given in the description of the items. (e) Materials permitted to be re-used in work measured as new shall be so described. No adjustment shall be made to the measured quantities of new work in which such old materials are re-used."
C,C2,Demolitions and Alterations,Demolitions (C2),"(a) Demolishing individual structures (or parts thereof) shall be given as items, except the clearing the site of all structures may be given as an item. The lowest level of the demolition shall be stated (e.g. down to the top of surface concrete at the lowest floor level). (b) Leaving parts of old walls temporarily in position to act as buttresses shall be given in the description of demolition items."
C,C3,Demolitions and Alterations,Alterations (C3),Alteration work which would be most conveniently priced on the site shall generally be grouped together and given under an appropriate heading.
C,C4,Demolitions and Alterations,Cutting (C4),"Cutting openings in old structures shall be given as items stating the openings nominal finished size of the opening, the type and thickness of the old structure and the treatment around the opening (e.g. inserting trimmers, lintels, arches, sills and the like; building up jambs). Extending finishing and making good all work disturbed shall be given in the description. New doors, windows and the like shall be measured in detail in accordance with the appropriate rules."
C,C5,Demolitions and Alterations,Blockings Up (C5),"Blocking up openings in old structures shall be given as items openings stating the size of the opening and the nature and thickness of the new work. Taking out thresholds lintels, arches, sills and the like, bonding or otherwise securing the new work to the old structure, extending finishing on the new work and making good all work disturbed shall be given in the description."
C,C6,Demolitions and Alterations,Pulling Down Other Parts (C6),"Pulling down walls, partitions, floors, roofs, staircases and parts of old structures shall be given as items. Where practicable quantities and dimensions shall be given in the description."
C,C7,Demolitions and Alterations,Taking Down Fittings And Fixtures (C7),Taking down fittings and fixtures (e.g. doors; windows; sanitary appliances; counters; cupboards) shall be given as fixtures items stating the size. Those required to be set aside for refixing shall be so described.
C,C8,Demolitions and Alterations,Refixing Fittings And Fixtures (C8),"Repairing, adapting and refixing old fittings and fixtures shall be given as items stating the size."
C,C9,Demolitions and Alterations,Temporary Screens And Temporary Roofs (C9),"Temporary screens and temporary roofs shall each be given separately in square metres or enumerated as may be appropriate. Weatherproof and dustproof screens shall be so described. Temporary arrangements for dealing with rainwater, temporary doors, temporary windows and the like in screens shall be given in the description. Clearing away temporary work shall be deemed to be included with the items."
C,C10,Demolitions and Alterations,Shoring (C10),"Timber shoring (other than that incidental to demolitions and alterations) shall be given in linear metres, stating the nominal size, the position and type of shoring and the nature of the structure to be shored. Erecting, maintaining, clearing away, making good all work disturbed, obtaining licenses, paying fees and providing all necessary nails, wedges and bolts shall be deemed to be included with the items."
D,D1,Excavations and Earthwork,Generally To Section D,(a) Any information available concerning the nature of the ground and strata shall be given. Attention shall be drawn to any open trial holes on site. (b) Work in existing buildings shall be done as described. Handling materials and getting them in or out of such buildings shall be deemed to be included with the items.
D,D2,Excavations and Earthwork,Site Preparation,"(a) Anti-termite treatment to sub-soil or filling shall be given in square metres. (b) The removal of termites nests shall be given as an item and the method of destruction of the termites shall be stated. Alternatively, this item may be given in the description of excavations."
D,D3,Excavations and Earthwork,Preserving Vegetable Soil,Excavating vegetable soil which is to be preserved shall be given in square metres stating the average depth. Soil deposited on site in permanent spoil heaps or spread on site shall be so described stating the location of such deposits or the average distances from the excavation in linear metres or kilometres.
D,D4,Excavations and Earthwork,Removing Trees And Hedges,"(a) Cutting down trees and grubbing up their roots shall be enumerated. Tree exceeding 600 millimetres girth (measured at a height of 1 metre above ground) shall be grouped together and described as small trees, those over 600 millimetres girth shall be classified and given in further stages of 300 millimetres, giving the type of tree and approximate height. (b) Cutting down hedges and grubbing up their roots shall be given in linear metres stating the nature, type and height (of each hedge or its location). (c) Clearing site of bushes, scrub, undergrowth and the like and grubbing up their roots shall be given in square metres or hectares. Alternatively, this may be given as an item stating the approximate area. Cutting down trees not exceeding 600 millimetres girth within such areas and grubbing up their roots may be given in the description, but cutting down larger trees shall be dealt with in accordance with paragraph (a) of this clause. (d) Grubbing up roots or stumps shall be enumerated stating girth of stump at top. (e) Where trees have already been cut leaving tree stumps which are to be removed from site, grubbing up the tree stumps shall be enumerated stating the girth of the stump at the highest point."
D,D5,Excavations and Earthwork,Excavation Generally,"(a) The quantities given for excavating and subsequent disposal shall be deemed to be the bulk before excavating and no allowance shall be made for any subsequent variations in bulk. No allowance shall be made for any extra space required to accommodate planking and strutting. (b) Getting out excavated materials by any means necessary shall be deemed to be included with the items of excavation. Subsequent disposal of excavated material shall be given in accordance with Clause D15 hereof (except as otherwise provided in Clause D11). (c) Excavating in compacted gravel, decomposed rock and hard murram shall be so described. (d) Excavating in soft rock, hard rock, solid rock and boulders shall each be given separately. (e) Excavation in made up ground, filled ground or ground composed of refuse shall be so described. (f) Depths of excavations shall be given from the starting level to the lowest point of excavation and shall be reckoned in stages of 1.5 metres. Depths in excess of 6 metres shall be given separately."
D,D6,Excavations and Earthwork,Surface Excavation,Excavating surfaces over 300 millimetres deep to reduce levels shall be given in cubic metres. Such work not exceeding 300 millimetres deep shall be given in square metres stating the average depth.
D,D7,Excavations and Earthwork,Cuttings,Excavating cuttings shall be given in cubic metres.
D,D8,Excavations and Earthwork,Basements,Excavating basements and the like shall be given in cubic metres stating the starting level and the depth as Clause D5 (f) hereof. Existing voids shall be deducted.
D,D9,Excavations and Earthwork,Foundation Trenches,Excavating trenches to receive foundations shall be given in cubic metres stating the starting level and the depth as Clause D5 (f) hereof. Preliminary trenches for basement retaining walls which are constructed before the basements are excavated shall be so described. No distinction shall be made between surface trenches and basement trenches. For pipe trenches and the like see Clause D11 hereof.
D,D10,Excavations and Earthwork,Pits,"Excavating pits to receive bases of stanchions, isolated piers and the like and grouped together shall be given in cubic metres stating the starting level and the depth as Clause D5 (f) hereof. No distinction shall be made between surface pits and basement pits."
D,D11,Excavations and Earthwork,Pipe Trenches And The Like,"Excavating trenches to receive service pipes, cables, kerbs and the like shall be given in linear metres stating the diameter and starting level and the average depth to the nearest 250 millimetres. Filling in, compacting, grading bottoms and disposing of surplus spoil shall be given in the description of such trenches."
D,D12,Excavations and Earthwork,Breaking Up Concrete And Brickwork,"Breaking up concrete, reinforced concrete work and the like met with in excavation shall each be given separately in cubic metres as extra over all kinds of excavation irrespective of depth."
D,D13,Excavations and Earthwork,Breaking Up Paving And The Like,"Breaking up surface concrete, reinforced surface concrete, paving tar macadam and the like on the surface of the ground shall each be given separately in square metres stating the thickness and the method of disposal. Alternatively, breaking up such hard materials on the surface may each be given in square metres as extra over excavation."
D,D14,Excavations and Earthwork,"Existing Conservancy Tanks, Septic Tanks And The Like","Clearing out and removing contents of conservancy tanks, septic tanks and the like shall be enumerated stating the volume and method of disposal."
D,D15,Excavations and Earthwork,Disposal Of Excavated Materials,"(a) Multiple-handling of excavated materials and transporting about the site as necessary shall be deemed to be included with the items of final disposal. Multiple-handling which is specifically required shall be given in the description of disposal items. (b) Earth fillings shall be measured as equal to the void to be filled. Any thickness stated shall be deemed to be measured after compacting. (c) Earth backfilling shall be given in cubic metres except as otherwise provided in Clause D11 hereof. (d) Earth filling in making up levels over 300 millimetres thick shall be given in cubic metres. Such work not exceeding 300 millimetres thick shall be given in square metres stating the average thickness. (e) Earth filling required to be deposited and compacted in layers shall be so described stating the maximum thickness of the layers, and the compaction standard required. (f) Surplus spoil shall be given in cubic metres. Spoil deposited on site in permanent spoil heaps or spread on site shall be so described stating the location of such deposits or the average distance from the excavation in linear metres or kilometres. Spoil removed from the site shall be described and the provision of a chute, dump or tip shall be deemed to be included with the items unless otherwise stated."
D,D16,Excavations and Earthwork,Surface Treatments,"(a) Treating the surface of the ground or the surface of filling or the bottom of excavation (e.g. grading to falls, grading to cambers, blinding) shall be given separately in square metres. Alternatively, such treatment may be given in the description of any superficial item of excavation, earth filling, hardcore filling, concrete or paving. Levelling and normal compacting are deemed to be included. (b) Compacting which is required to be carried out by specific means shall be appropriately described. (c) Any special treatment to bottoms of excavation in rock shall be described. (d) Trimming sides of cutting and sides of embankments to slope shall each be given separately in square metres stating the angle of slope. (e) Trimming sides of excavations in rock to produce fair faces shall be given in square metres."
D,D17,Excavations and Earthwork,Soiling Seeding Planting And Turfing,"Soiling, seeding, planting, fertilizing and turfing to surfaces shall each be given separately in square metres stating the thickness of soil and the quantity per square metre of the seed, plants or fertilizer."
D,D18,Excavations and Earthwork,Disposal Of Water,"(a) Keeping excavations free from water (i.e. all water except spring or running water) shall be given as an item. Alternatively, this item may be given in the description of excavation. (b) Keeping excavations free from spring or running water shall be given as a provisional or prime cost sum as Clause A7 hereof or as a provisional number of actual pumping hours for the different classes of pumps likely to be required. (c) Providing pumps and other equipment, power and attendance for pumping and standing time shall be deemed to be included with the items."
D,D19,Excavations and Earthwork,Planking And Strutting Generally,Planking and strutting shall be deemed to mean providing everything requisite to uphold the sides of excavation by whatever means are necessary (other than special shoring or steel sheet piling) and shall be given as an item or shall be included in the description of excavation.
D,D20,Excavations and Earthwork,Hardcore Filling,(a) Hardcore filling shall be measured as equal to the void to be filled. Any thickness stated shall be deemed to be measured after compacting. (b) Hardcore filling in making up levels over 300 millimetres thick shall be given in cubic metres. Such work not exceeding 300 millimetres thick shall be given in square metres stating the average thickness. (c) Hardcore filling required to be deposited and compacted in layers shall be so described stating the maximum thickness of the layers and the compaction standard required. (d) Treating the surface of the hardcore shall be given in accordance with Clause D16 (a) and (b) hereof. (e) Hand-packing hardcore to form vertical or battering face over 300 millimetres wide shall be given in square metres. Such work not exceeding 300 millimetres wide shall be given in linear metres stating the width. (f) Forming sinkings in hardcore shall be given in linear metres stating the size.
E,E1,Piling,General To Section E,"(a) Any information available concerning the nature of the ground and strata shall be given stating whether the surface is level or irregular. Attention shall be drawn to any available records of bores on the site. (b) Work near rivers or tidal waters shall be so described stating the level of the ground in relation to high-water mark, low-water mark and the Ordnance datum. Attention shall be drawn to any available records of the highest flood-water level in the locality. (c) Providing and assembling the piling equipment on the site and its subsequent removal shall be given as an item. Moving the piling frames about the site, raising and lowering them and providing any necessary staging or barges to support them shall be deemed to be included with the item. (d) A general description of the piling operations shall be given as an item stating the approximate level or levels at which the piling frames will operate (e.g. ground level; reduced level; basement level). (e) Extra excavation (where necessary in order to place the hammer over any pile situated in an angle or similar position), together with any necessary filling and ramming afterwards, shall be given in detail or as provisional items."
E,E2,Piling,Wood Or Concrete Piles Generally,Designs for piles shall be deemed to be provided by the employer. Piles required to be designed by the contractor shall be given in accordance with Clause E7 hereof.
E,E3,Piling,Wood Piles,"(a) Supplying wood piles shall be given in linear metres stating the nominal size. Those over 10 metres long shall be so described stating the length in further stages of 3 metres. (b) Pointed ends of piles shall be enumerated as extra over the piles on which they occur. Where shoes are fitted they shall be given in the description stating the weight. (c) Handling, transporting and pitching piles shall be enumerated stating the size, the length and whether single or in clusters. (d) Driving piles (measured from the shoe point in contact with the ground when pitched to the shoe point when driven) shall be given in linear metres stating the set required and any limitation on the method of driving. Driving piles on rake and driving piles in water shall each be so described. (e) Cutting off the tops of piles to required levels and ringing with steel bands shall be enumerated as extra over the piles concerned stating the size of the cross-section of the band. Cutting under water shall be so described stating the depth below the water level."
E,E4,Piling,Cast Concrete Piles,"(a) Supplying cast concrete piles shall be given in linear metres stating the nominal size and the number. Moulds shall be deemed to be included with the items. Piles required to be cast other than on the site and subsequently transported to the site shall be so described. (b) Bar reinforcement shall be given in accordance with the rules for reinforced concrete in Section F hereof. (c) Heads and shoes shall each be enumerated as extra over the piles to which they are fitted stating the weight. Rock-shoes shall be so described. (d) Handling, transporting and pitching the piles shall be enumerated stating the size, the length and whether single or in clusters. (e) Driving piles shall be given in accordance with Clause E3 (d) hereof. (f) Cutting off the tops of piles to required levels and preparing the reinforcement shall be enumerated as extra over the piles concerned. Cutting under water shall be so described stating the depth below water level. (g) Lengthening piles in position shall be given in detail, connections shall be enumerated. Redriving lengthened piles shall be given in linear metres stating the number."
E,E5,Piling,Bored Piles,"(a) Boring pile holes and filling bores with concrete (measured as one item) shall be given in linear metres stating the size and number of bores and the mix of concrete filling. (b) Where bored piles are required to finish below the formation level of the ground, an additional item of blind boring shall be given in linear metres stating the size of the bore. (c) Bar reinforcement shall be given in accordance with the rules for reinforced concrete in Section F hereof. (d) Disposal of spoil from the bores shall be given in accordance with the rules for disposal of excavated materials in Section D hereof."
E,E6,Piling,Trial Piles,"(a) Trial piles shall be enumerated stating the location, length and nominal size of the pile, the length of driving and the method of testing. Any necessary pointed ends, shoes, heads and reinforcement shall be given in the description."
E,E7,Piling,Contractor-Designed Concrete Piles,"(a) Contractor-designed concrete piles shall be enumerated stating the actual length, the superimposed load to be carried and the method of disposing of any spoil. Particulars shall be given of any restrictions regarding the type of pile or the method of driving. Any necessary reinforcement in piles shall be deemed to be included. (b) Where the tops of piles are required to finish below the formation level of the ground, the piles shall be so described stating the depth of the top below such level."
E,E8,Piling,Steel Sheet Piling,"(a) Steel sheet piling (measured as the area placed in position taken on the centre line of the piling) shall be given in square metres stating the nominal size of such unit and the thickness or substance of the metal. Sheet piling over 10 metres long shall be so described stating the length in further stages of 3 metres. Handling, transporting, pitching, strutting and waling shall be given in the description. (b) Driving steel sheet piling (measured from the formation level of the ground to the bottom edge of the sheet when driven) not exceeding 6 metres deep shall be given in square metres stating the depth in further stages of 3 metres. Driving in water shall be so described. Withdrawing steel sheet piling shall be given in the description of driving. (c) Corner piles and junction piles shall each be given in linear metres as extra over the sheet piling in which they occur. (d) Cutting or burning through steel sheet piling shall be given in linear metres as extra over the piling concerned. Cutting under water shall be so described stating the depth below water level."
F,F1,Concrete Work,Generally To Section F,"(a) Particulars of the following shall be given: i. Kind and quality of materials for concrete; ii. Any tests of the materials; iii. Any tests of the finished work; iv. Composition and mix (or strength requirements) of the concrete; v. Any additives e.g. accelerators, retarders, air-entraining agents, waterproofing agents and the like. (b) Concrete required to be placed by a particular method (e.g. poured at a stated speed) shall be so described. (c) Concrete required to be consolidated by a particular method (e.g. mechanically tamped; vibrated) shall be so described. (d) Concrete required to be cured by a particular method shall be so described. (e) Curved labours on concrete shall be described irrespective of radius. (f) Labours on existing concrete shall be so described. (g) Concrete shall be measured as executed but no deduction shall be made for: i. Volume of any steel embedded in the concrete; ii. Voids not exceeding 0.10 cubic metres in work given in square metres; iii. Voids not exceeding 0.05 cubic metres in work given in cubic metres."
F,F2,Concrete Work,Plain Concrete And Reinforced Concrete,"(a) Plain in-situ concrete shall be given under an appropriate heading. (b) Reinforced in-situ concrete shall be given under an appropriate heading. (c) Foundations to stanchions, columns and piers which are isolated shall be grouped together and given in cubic metres. (d) Ground beams and casings to steel ground beams shall each be given separately in cubic metres. (e) Casing to steel grillages shall be given in cubic metres. (f) Grouting under steel stanchion-bases and under steel grillages shall each be given separately in square metres stating the mix of the grout and the number of bases or grillages. (g) Building in and grouting anchor bolts and the like shall be enumerated stating the length of the bolt in stages of 150 millimetres and the mix of the grout."
F,F4,Concrete Work,Machine Bases And Beds,Machine bases shall be given in cubic metres. (a) Beds over 300 millimetres thick shall be given in cubic metres. Those not exceeding 300 millimetres thick shall be given in square metres stating the thickness. (b) Beds laid to slopes not exceeding 15 degrees from horizontal and those laid to slopes over 15 degrees from horizontal shall be so described. (c) Beds laid in bays shall be so described stating the size of bays. Formwork between the bays shall be given in the description.
F,F6,Concrete Work,"Roads, Footpaths And Pavings","Roads, footpaths and pavings shall each be so described and given in accordance with the rules for beds in Clause F5 hereof."
F,F7,Concrete Work,"Floors, Roofs And The Like","(a) Suspended floors, roofs and the like (measured over all bearings and grouped together) shall be given in square metres stating the thickness. Classification: i. Horizontal; ii. Sloping not exceeding 15 degrees; iii. Sloping over 15 degrees; iv. Vertical. (b) Curved roofs, conical roofs, spherical roofs and elliptical roofs shall each be so described irrespective of radius. Haunchings shall be given in cubic metres. (c) Tops and cheeks of dormers shall be given in square metres stating the thickness."
F,F8,Concrete Work,Walls,"(a) Measurements of walls shall be taken between attached piers or pilasters. (b) Walls over 300 millimetres thick shall be given in cubic metres. Those not exceeding 300 millimetres thick shall be given in square metres stating the thickness. Retaining walls shall be so described. (c) Projections on walls to form cornices, bands and the like shall be given in cubic metres. (d) Concrete fillings to cavities of hollow walls shall be given in square metres stating the thickness."
F,F9,Concrete Work,Casings To Steelwork,"Casings to steel beams, lintels, stanchions and the like shall each be given separately in cubic metres."
F,F10,Concrete Work,Beams And Columns,"Beams, lintels, columns and the like shall each be given separately in cubic metres. Projections shall be added to the appropriate items."
F,F11,Concrete Work,Steps And Staircases,"(a) Steps, staircases and strings shall be given in cubic metres. (b) Solid balustrades and landings shall each be given separately in square metres stating the thickness."
F,F12,Concrete Work,Kerbs,Kerbs may be given in cubic metres or in linear metres stating the size.
F,F13,Concrete Work,Finishes Onto Concrete,"Finishes cast on to the concrete by lining formwork with required material (e.g. granolithic, terrazzo, mosaic) shall be given in square metres as extra over concrete."
F,F14,Concrete Work,Labours On Concrete,"(a) Treating the surface of unset concrete over 300 millimetres thick shall be given in square metres. (b) Forming channels and chases shall be given in linear metres stating the shape, width and depth."
F,F15,Concrete Work,Expansion Joints In Concrete,Expansion joints in concrete where over 300 millimetres wide shall be given in square metres. Expansion joints 300 millimetres and under shall be given in linear metres.
